
2023/10/10 (18:25:10) | ===> btop++ v.1.2.13
2023/10/10 (18:25:10) | INFO: Logger set to INFO
2023/10/10 (18:25:10) | INFO: Logger set to DEBUG
2023/10/10 (18:25:10) | INFO: Logger set to INFO

2024/01/14 (14:46:57) | ===> btop++ v.1.3.0
2024/01/14 (14:46:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/14 (14:46:57) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/02/02 (21:57:09) | ===> btop++ v.1.3.0
2024/02/02 (21:57:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/02/02 (21:57:09) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/02/16 (09:03:57) | ===> btop++ v.1.3.2
2024/02/16 (09:03:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/02/16 (09:03:57) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/02/27 (20:33:34) | ===> btop++ v.1.3.2
2024/02/27 (20:33:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/02/27 (20:33:34) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/02/28 (19:22:46) | ===> btop++ v.1.3.2
2024/02/28 (19:22:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/02/28 (19:22:46) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/03/01 (22:37:09) | ===> btop++ v.1.3.2
2024/03/01 (22:37:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/01 (22:37:09) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/03/05 (09:14:09) | ===> btop++ v.1.3.2
2024/03/05 (09:14:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/05 (09:14:09) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/03/07 (22:45:25) | ===> btop++ v.1.3.2
2024/03/07 (22:45:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/07 (22:45:25) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/03/11 (18:04:34) | ===> btop++ v.1.3.2
2024/03/11 (18:04:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (18:04:34) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/03/11 (18:04:54) | ===> btop++ v.1.3.2
2024/03/11 (18:04:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (18:04:54) | WARNING: ROCm SMI: Failed to get GPU power usage

